Date,LEV
2009-04-01,0.1813386817010233
2009-07-01,0.17201261365289522
2009-10-01,0.1748029062392388
2010-01-01,0.19591486403849834
2010-04-01,0.1957141299592179
2010-07-01,0.1873423856455431
2010-10-01,0.1785785137773694
2011-01-01,0.1666603074586242
2011-04-01,0.15702024474038995
2011-07-01,0.158487887249006
2011-10-01,0.15715834501603332
2012-01-01,0.1555627218100809
2012-04-01,0.1560697517813137
2012-07-01,0.16511081612530049
2012-10-01,0.1712323850819909
2013-01-01,0.1734688479649769
2013-04-01,0.17543551469802826
2013-07-01,0.1715094604510252
2013-10-01,0.16292478150199463
2014-01-01,0.1607719305063051
2014-04-01,0.1699764188309446
2014-07-01,0.1742117650562199
2014-10-01,0.1769390444292878
2015-01-01,0.16329335541729562
2015-04-01,0.1643467649742529
2015-07-01,0.1976610583077957
2015-10-01,0.20660678613842853
2016-01-01,0.19373420703319072
2016-04-01,0.21958096041753425
2016-07-01,0.2270671844991877
2016-10-01,0.22539174187445235
2017-01-01,0.2299846872131597
2017-04-01,0.2290345113805391
2017-07-01,0.2630247981289979
2017-10-01,0.26368553127113
2018-01-01,0.20073094011427867
2018-04-01,0.19855863497755266
2018-07-01,0.20618309703871762
2018-10-01,0.1921918202977716
2019-01-01,0.1868734770000265
2019-04-01,0.177658461958103
2019-07-01,0.1781241025202601
2019-10-01,0.16473118311057
2020-01-01,0.1648552623366877
2020-04-01,0.15735663403895161
2020-07-01,0.15539616969189074
2020-10-01,0.15542448485720367
2021-01-01,0.1313655341025204
2021-04-01,0.12845872750374485
2021-07-01,0.1220797107941665
2021-10-01,0.11935615945399625
2022-01-01,0.1223340583606626
2022-04-01,0.1212936713641082
2022-07-01,0.1193183559940623
2022-10-01,0.1171284832096542
2023-01-01,0.1166967049490794
2023-04-01,0.1102482184450205
2023-07-01,0.1209407505823897
2023-10-01,0.1242411107909347
2024-01-01,0.1271452652436061
2024-04-01,0.1120758934494028
2024-07-01,0.1213836201501732
